"ct_numero";"uo_libelle"
"29733";"COGELEC"
"29734";"COGELEC"
"29756";"COGELEC"
"29763";"COGELEC"
"29772";"COGELEC"
"29787";"COGELEC"
"29790";"COGELEC"
"37758";"COGELEC"
"69255";"COGELEC"
"69601";"COGELEC"
"31470";"CMS"
"31471";"CMS"
"31472";"CMS"
"31473";"CMS"
"31474";"CMS"
"31475";"CMS"
"31476";"CMS"
"31477";"CMS"
"31479";"CMS"
"31480";"CMS"
"31734";"CMS"
"69010";"CMS"
"69026";"CMS"
"69027";"CMS"
"69137";"CMS"
"69576";"CMS"
"69577";"CMS"
"69610";"CMS"
"64376";"ets cheikh diagne"
"64377";"ets cheikh diagne"
"64425";"ets cheikh diagne"
"64426";"ets cheikh diagne"
"64427";"ets cheikh diagne"
"64428";"ets cheikh diagne"
"64432";"ets cheikh diagne"
"64439";"ets cheikh diagne"
"64440";"ets cheikh diagne"
"64441";"ets cheikh diagne"
"64442";"ets cheikh diagne"
"64443";"ets cheikh diagne"
"64445";"ets cheikh diagne"
"64446";"ets cheikh diagne"
"64462";"ets cheikh diagne"
"64463";"ets cheikh diagne"
"64467";"ets cheikh diagne"
"64468";"ets cheikh diagne"
"64469";"ets cheikh diagne"
"64470";"ets cheikh diagne"
"64477";"ets cheikh diagne"
"64496";"ets cheikh diagne"
"64498";"ets cheikh diagne"
"64499";"ets cheikh diagne"
"64500";"ets cheikh diagne"
"69922";"ets cheikh diagne"
"69923";"ets cheikh diagne"
"69924";"ets cheikh diagne"
"69925";"ets cheikh diagne"
"69926";"ets cheikh diagne"
"69927";"ets cheikh diagne"
"69928";"ets cheikh diagne"
"69929";"ets cheikh diagne"
"69930";"ets cheikh diagne"
"69931";"ets cheikh diagne"
"69932";"ets cheikh diagne"
"69933";"ets cheikh diagne"
"69934";"ets cheikh diagne"
"69935";"ets cheikh diagne"
"69940";"ets cheikh diagne"
"69941";"ets cheikh diagne"
"69942";"ets cheikh diagne"
"69943";"ets cheikh diagne"
"69944";"ets cheikh diagne"
"69945";"ets cheikh diagne"
"69946";"ets cheikh diagne"
"69947";"ets cheikh diagne"
"69948";"ets cheikh diagne"
"69949";"ets cheikh diagne"
"69950";"ets cheikh diagne"
"69951";"ets cheikh diagne"
"69952";"ets cheikh diagne"
"69953";"ets cheikh diagne"
"69956";"ets cheikh diagne"
"69957";"ets cheikh diagne"
"69958";"ets cheikh diagne"
"69959";"ets cheikh diagne"
"69960";"ets cheikh diagne"
"69961";"ets cheikh diagne"
"69962";"ets cheikh diagne"
"69963";"ets cheikh diagne"
"69964";"ets cheikh diagne"
"69965";"ets cheikh diagne"
"69966";"ets cheikh diagne"
"69967";"ets cheikh diagne"
"69968";"ets cheikh diagne"
"69969";"ets cheikh diagne"
"69970";"ets cheikh diagne"
"69971";"ets cheikh diagne"
"69972";"ets cheikh diagne"
"69973";"ets cheikh diagne"
"69977";"ets cheikh diagne"
"3270";"GLOBAL TRANSPORT ET MINE"
"3271";"GLOBAL TRANSPORT ET MINE"
"3274";"GLOBAL TRANSPORT ET MINE"
"3277";"GLOBAL TRANSPORT ET MINE"
"3280";"GLOBAL TRANSPORT ET MINE"
"3303";"GLOBAL TRANSPORT ET MINE"
"3305";"GLOBAL TRANSPORT ET MINE"
"3334";"GLOBAL TRANSPORT ET MINE"
"3335";"GLOBAL TRANSPORT ET MINE"
"3345";"GLOBAL TRANSPORT ET MINE"
"3348";"GLOBAL TRANSPORT ET MINE"
"3350";"GLOBAL TRANSPORT ET MINE"
"3351";"GLOBAL TRANSPORT ET MINE"
"3352";"GLOBAL TRANSPORT ET MINE"
"3353";"GLOBAL TRANSPORT ET MINE"
"3354";"GLOBAL TRANSPORT ET MINE"
"3375";"GLOBAL TRANSPORT ET MINE"
"3376";"GLOBAL TRANSPORT ET MINE"
"3377";"GLOBAL TRANSPORT ET MINE"
"3385";"GLOBAL TRANSPORT ET MINE"
"3386";"GLOBAL TRANSPORT ET MINE"
"3406";"GLOBAL TRANSPORT ET MINE"
"3428";"GLOBAL TRANSPORT ET MINE"
"3430";"GLOBAL TRANSPORT ET MINE"
"3431";"GLOBAL TRANSPORT ET MINE"
"3440";"GLOBAL TRANSPORT ET MINE"
"3441";"GLOBAL TRANSPORT ET MINE"
"3443";"GLOBAL TRANSPORT ET MINE"
"3445";"GLOBAL TRANSPORT ET MINE"
"3448";"GLOBAL TRANSPORT ET MINE"
"3450";"GLOBAL TRANSPORT ET MINE"
"3452";"GLOBAL TRANSPORT ET MINE"
"3461";"GLOBAL TRANSPORT ET MINE"
"3464";"GLOBAL TRANSPORT ET MINE"
"3465";"GLOBAL TRANSPORT ET MINE"
"3466";"GLOBAL TRANSPORT ET MINE"
"3467";"GLOBAL TRANSPORT ET MINE"
"3473";"GLOBAL TRANSPORT ET MINE"
"3474";"GLOBAL TRANSPORT ET MINE"
"3475";"GLOBAL TRANSPORT ET MINE"
"3486";"GLOBAL TRANSPORT ET MINE"
"6260";"GLOBAL TRANSPORT ET MINE"
"6504";"GLOBAL TRANSPORT ET MINE"
"6544";"GLOBAL TRANSPORT ET MINE"
"6596";"GLOBAL TRANSPORT ET MINE"
"6616";"GLOBAL TRANSPORT ET MINE"
"6617";"GLOBAL TRANSPORT ET MINE"
"6619";"GLOBAL TRANSPORT ET MINE"
